customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating
4613,07-02-2021,YYC-DT,4,0,42.52,07-02-2021,25-09-2024,Calgary Downtown,FALSE,6,,50.05,1,TRUE,billing error,4.1
7395,30-08-2019,YYC-dt,7,0.9,158.05,30-08-2019,22-08-2021,CALGARY DOWNTOWN,0,33,1392.23,,7,TRUE,WebsiteIssue,3.8
6710,03-01-2019,YYC-DT,2,4.06,176.54,03-01-2019,08-03-2020,Calgary Downtown  ,FALSE,9,278.7,28.37,3,FALSE,None ,3.6
5724,06-09-2024,ONLINE,11,,323.28,06-09-2024,23-07-2024,Online,No,2,,,10,1,Late Delivery,3.5
8972,03-05-2021,YYC-DT,,0,408.44,03-05-2021,23-08-2024,Calgary Downtown  ,FALSE,35,2501.35,68.54,16,TRUE,None,4.2
204,03-05-2021,YYC-DT ,3,0.44,125.04,03-05-2021,12-06-2022,calgary downtown,Y,8,323.47,29.29,2,No,None,5
9378,28-02-2021,YYC-DT,9,3.05,101.63,28-02-2021,21-07-2023,Calgary Downtown,FALSE,29,1623.77,58.91,12,FALSE,None ,4.2
3211,21-03-2021,ONLINE,21,,63.73,21-03-2021,01-09-2022,Online,No,56,3797.41,70.8,10,0,None,4.3
2703,06-08-2023,YYC-DT ,5,0.6,156.83,06-08-2023,14-01-2024,Calgary Downtown  ,1,5,396.27,78.58,4,,,4.5
4209,24-07-2024,YYC-NW,10,0.38,31.67,24-07-2024,21-12-2024,Calgary NW,,5,260.59,122.68,5,FALSE,None,3.2
5974,08-08-2023,YYC-NW,11,1.77,128.06,08-08-2023,24-01-2024,Calgary NW  ,0,16,684.97,42.18,10,No,,4.5
4538,12-01-2020,YYC-NW ,15,4.29,101.39,12-01-2020,16-01-2021,Calg NW,Y,71,5959.93,86.69,7,TRUE,Late Delivery,4.8
1299,04-01-2024,YYC DT,14,1.78,232.39,04-01-2024,27-06-2024,Calgary Downtown,TRUE,9,436.8,49.58,14,No,,5
3119,,YYC-NW,9,1.28,167.73,28-08-2024,20-12-2024,calgary nw,Y,5,127.52,64.64,8,FALSE,None,4.4
2685,06-09-2022,ONLINE,8,2.77,355.27,06-09-2022,13-04-2024,ONLINE,N,16,1480.08,91.54,7,TRUE,,3.3
9416,,YYC-SE ,10,0,239.11,10-12-2024,16-03-2024,Calg SE,No,2,94.8,32.06,9,Y,,4.2
3749,01-01-2022,ONLINE,7,0.76,117.63,01-01-2022,06-08-2024,Online,FALSE,24,634.98,25.33,10,No,None,4.1
3434,01-02-2021,ONLINE,10,0,190.53,01-02-2021,,ONLINE,,33,2740.8,80.95,10,0,,4.1
8253,27-05-2021,YYC-DT,4,0.72,142.88,27-05-2021,01-03-2022,Calgary Downtown  ,,19,515.96,25.56,6,FALSE,,
4308,21-02-2019,YYC NW,9,1.34,33.02,21-02-2019,26-05-2024,Calgary Nw,TRUE,51,2934.51,52.66,11,FALSE,None ,3.9
9282,06-10-2021,YYC-NW,18,0.71,190.21,06-10-2021,26-04-2022,Calgary NW  ,0,,1502.92,32.65,13,FALSE,,4.1
9035,,online,19,2.62,81.47,25-11-2021,,Online,,44,2154.64,48.06,,Y,,3.6
3859,16-11-2024,yyc-nw,17,2.94,201.65,16-11-2024,26-02-2024,Calgary Nw,No,6,,35.59,10,N,None,
882,30-10-2023,YYC-NW,12,0,78.78,30-10-2023,,Calg NW,N,17,1237.95,86.65,15,1,,3.5
10597,06-04-2022,YYC DT,11,0,209.29,06-04-2022,28-07-2024,Calgary Downtown  ,No,19,1360.74,114.5,8,FALSE,NONE,0.5
3997,26-01-2023,YYC-DT ,16,0,62.41,26-01-2023,15-05-2024,calgary downtown,TRUE,22,1712.75,74.92,16,1,,4.3
3611,27-02-2024,YYC-DT,16,1.43,107.61,27-02-2024,05-07-2024,Calgary Downtown,No,10,311.05,30.16,10,FALSE,,
10883,27-05-2020,YYC-NW ,4,0.81,69.44,27-05-2020,02-03-2024,Calgary Nw,0,10,830.56,76.94,4,FALSE,None,4.1
4868,23-06-2019,ONLINE,0,0,149.22,23-06-2019,,Online,TRUE,10,449.94,49.02,1,N,,4.5
9569,30-10-2022,YYC-NW,3,0,106.74,30-10-2022,,Calgary NW,Yes,6,472.96,98.01,,TRUE,WebsiteIssue,3.6
10334,28-11-2019,ONLINE,13,0.13,90.49,28-11-2019,19-04-2023,Online  ,N,45,4245.03,91.41,10,N,,3.3
8292,30-09-2024,YYC-DT,14,0,66.77,,06-07-2024,Calgary Downtown  ,N,,260.37,49.78,15,TRUE,Late Delivery,3.7
4600,27-08-2019,yyc-se,6,0.65,171.44,27-08-2019,03-06-2021,Calg SE,0,34,2276.31,72.77,6,TRUE,BillingError,3.9
6271,02-03-2024,YYC-NW,,1.36,100.44,02-03-2024,29-12-2024,calgary nw,TRUE,12,646.62,59.43,8,Y,Billing Error,3.7
8058,03-10-2020,YYC-dt,6,3.13,272.49,03-10-2020,08-04-2022,calgary downtown,0,25,762.12,27.77,4,Yes,DAMAGED BOOK,3.1
5010,09-03-2022,YYC-dt,11,1.85,58.6,09-03-2022,12-01-2023,Calg Downtown,No,32,2750.4,84.46,14,Y,Website Issue,3.9
2474,05-05-2022,YYC-DT,11,0,243,05-05-2022,04-08-2022,Calgary Downtown,N,28,790.02,30.3,10,No,none,3.7
6013,21-07-2021,YYC-DT,6,3.06,231.75,21-07-2021,25-04-2024,Calg Downtown,0,23,2123.18,91.62,6,FALSE,,4.3
4525,06-11-2024,yyc-nw,16,0.48,152.59,06-11-2024,12-06-2024,Calg NW,N,3,286.91,69.38,15,TRUE,None,3.5
1641,18-01-2023,YYC-SE,13,0,109.16,18-01-2023,13-10-2024,CALGARY SE,0,27,2319.88,94,19,FALSE,None,
2195,,YYC-SE,9,0,128.11,,22-11-2024,Calgary SE,Y,,671.39,84.03,5,FALSE,NONE,6
9868,10-11-2024,YYC-NW,8,0,224.43,10-11-2024,21-10-2024,Calgary NW,FALSE,1,150.84,78.26,12,FALSE,None,4.3
9275,15-02-2023,YYC-SE ,9,0,137.13,15-02-2023,02-09-2023,Calgary SE  ,0,13,631.74,48.95,8,Y,Late Delivery ,2.9
5697,04-08-2019,yyc-nw,10,0.5,297.42,04-08-2019,17-03-2024,Calg NW,0,49,,,12,TRUE,,3.8
7680,21-07-2020,YYC DT,10,0,237.82,21-07-2020,21-11-2023,Calgary Downtown  ,Y,27,1544.77,53.74,5,TRUE,Rude Staff ,3.9
1679,12-09-2021,YYC SE,,1.8,177.7,12-09-2021,23-06-2024,Calgary SE  ,0,19,,27.35,7,0,None ,
6412,16-10-2019,YYC-DT,15,1.18,50.89,16-10-2019,31-07-2024,calgary downtown,No,67,4807.22,67.95,8,FALSE,None ,4
8571,13-04-2023,YYC SE,16,0.72,88.29,13-04-2023,13-09-2023,Calgary Se,TRUE,27,1559.04,59.4,15,FALSE,None,4.1
4559,01-11-2020,YYC-DT,14,0.93,148.16,01-11-2020,09-05-2022,calgary downtown,,46,3382.46,77.52,7,FALSE,NONE,4.3
4623,20-08-2023,online,18,0,267.79,20-08-2023,28-01-2024,Online,Y,24,1292.25,57.82,12,0,none,4.8
3806,08-01-2023,YYC-DT,7,0,142.38,08-01-2023,,Calgary Downtown,0,17,1438.78,88.51,10,N,None,3.4
9468,05-06-2019,YYC-DT,17,0,243.6,05-06-2019,12-03-2022,Calgary Downtown  ,No,91,5241.16,59.7,18,FALSE,None ,3.8
10629,21-12-2019,YYC-DT ,,3.03,88.38,21-12-2019,12-07-2023,Calgary Downtown  ,N,31,809.97,24.43,8,No,none,3.8
167,21-05-2019,YYC-se,11,0.78,74.09,21-05-2019,18-05-2022,Calgary SE,Yes,44,3378.04,78.85,10,0,,4.6
1769,03-10-2021,YYC-SE,8,0,201,03-10-2021,24-07-2024,Calgary SE  ,Yes,27,1538.17,56.46,5,N,NONE,
2104,30-10-2021,YYC-DT,,3.26,157.77,30-10-2021,15-12-2024,Calgary Downtown,No,,805.55,36.34,7,FALSE,,
5690,25-05-2020,YYC-DT,16,0.61,103.83,25-05-2020,23-11-2024,Calgary Downtown  ,N,76,,74.98,16,FALSE,,4.1
406,,YYC NW,6,2.88,330.53,27-11-2022,10-02-2024,Calgary NW,Y,9,305.36,82.56,6,No,None,4.8
9777,28-06-2024,YYC-se,13,2.53,138.72,,29-09-2024,Calgary Se,1,7,342.78,54.96,9,FALSE,,
10438,07-03-2022,YYC-NW ,14,0,120.91,07-03-2022,26-06-2024,CALGARY NW,,30,2157.08,69.53,10,,None,4.2
7142,01-02-2022,YYC-NW,16,0,92.04,01-02-2022,30-08-2024,calgary nw,N,39,2754.01,76.4,14,Y,DamagedBook,
10733,06-04-2021,YYC-NW,16,,181.7,06-04-2021,02-10-2023,Calgary NW,FALSE,40,2420.03,39.68,,FALSE,None,4.2
9828,25-12-2022,YYC NW,13,0,261.84,25-12-2022,24-10-2024,calgary nw,FALSE,26,1494.88,56.23,13,FALSE,None,
5046,,yyc-dt,1,0,35.13,16-09-2020,19-11-2021,CALGARY DOWNTOWN,N,13,,27.62,,1,Billing Error,3.8
5149,19-07-2022,YYC NW,2,1.01,237.79,19-07-2022,06-11-2023,CALGARY NW,FALSE,9,211.95,,3,No,None,3.3
889,,ONLINE,11,1.44,168.15,22-07-2019,21-09-2023,Online  ,TRUE,52,3073.28,57.81,9,FALSE,,4.3
119,06-10-2022,YYC-SE,8,0,130.25,06-10-2022,05-10-2024,Calgary SE,,15,586.4,41.46,5,FALSE,,
7007,09-07-2022,YYC-NW ,20,0.46,114.95,09-07-2022,21-09-2024,calgary nw,FALSE,39,3248.12,82.12,10,FALSE,NONE,4.5
3326,20-07-2022,yyc-se,10,1.62,74.71,20-07-2022,24-11-2024,Calgary SE  ,No,24,745.98,32.85,,FALSE,None,4
5104,24-01-2023,YYC-nw,16,1.3,211.26,24-01-2023,20-09-2024,Calgary Nw,N,28,2237.12,78.14,15,,None,3
4178,03-10-2024,YYC-DT,5,0,46.72,03-10-2024,,Calgary Downtown,No,1,27.9,29.98,9,No,None,4.2
3309,09-06-2021,YYC-DT,,0,120.45,09-06-2021,25-01-2022,Calgary Downtown  ,FALSE,,2311.79,67.47,10,,none,
8006,29-11-2021,YYC-DT,11,0,133.73,29-11-2021,19-06-2022,Calgary Downtown,No,41,2089.4,48.48,9,No,none,4.2
1487,,YYC-DT,16,0.19,474.29,14-12-2021,14-03-2023,Calgary Downtown  ,No,40,3717.43,93.31,13,No,None,4.3
9314,29-10-2024,YYC-DT,11,,24.31,29-10-2024,18-02-2024,Calgary Downtown,0,0,,,9,TRUE,None,3.5
732,02-05-2019,yyc-dt,8,1.81,121,02-05-2019,18-12-2020,Calgary Downtown,FALSE,50,,69.05,6,,None ,3.9
9645,31-07-2023,YYC-SE,7,1.02,521.24,31-07-2023,31-10-2024,calgary se,FALSE,9,621.14,60.3,5,FALSE,None,3.9
7162,15-08-2021,YYC-NW ,16,0.74,131.29,15-08-2021,07-02-2022,CALGARY NW,No,55,4110.42,74.8,10,No,NONE,2.6
6571,29-06-2020,yyc-se,8,0,340.61,29-06-2020,28-04-2023,Calgary Se,TRUE,23,974.07,40.81,4,FALSE,,4.6
4964,05-06-2020,YYC-SE,14,,182.14,05-06-2020,04-05-2022,Calgary SE,No,54,3314.13,62.66,16,0,None,3.9
7401,,YYC DT,5,0,42.35,11-08-2024,,Calgary Downtown,,3,122.58,,3,No,None ,3.5
11744,16-04-2021,YYC-DT,2,,136.47,16-04-2021,03-02-2023,Calgary Downtown  ,Y,7,442.3,62.76,2,TRUE,,4.9
10155,23-07-2021,yyc-dt,5,0.57,63.37,23-07-2021,,Calgary Downtown,Y,,442.33,29.48,2,0,,4.3
7134,21-07-2022,YYC-DT,8,0.85,52.7,21-07-2022,10-09-2024,Calg Downtown,TRUE,17,1444.7,84.17,7,FALSE,,4.3
6326,22-05-2023,YYC-SE,10,0,68.67,22-05-2023,08-08-2024,calgary se,0,12,,34.12,10,N,None,4.3
3933,26-09-2023,YYC-NW,16,0,24.03,26-09-2023,27-01-2024,Calg NW,FALSE,,,82.5,9,FALSE,none,
8428,31-12-2023,YYC-DT,20,1.08,413.34,31-12-2023,26-04-2024,Calg Downtown,0,14,1201.02,93.75,18,Y,Damaged Book,3.3
2358,08-03-2019,YYC-NW ,13,0.4,363.03,08-03-2019,,Calgary Nw,Y,58,3286.65,53.42,14,0,None ,4.4
5026,15-08-2022,YYC-SE,14,0,205.89,15-08-2022,31-08-2024,Calgary SE  ,0,30,2796.72,92.39,9,FALSE,NONE,3.6
1237,30-05-2024,YYC-SE ,7,3.15,80.59,30-05-2024,19-11-2024,Calgary SE,FALSE,6,191.75,51.54,8,No,None ,4.4
5036,09-07-2023,YYC-DT ,18,2.3,225.42,09-07-2023,06-01-2024,Calgary Downtown  ,FALSE,28,1095.11,41.3,17,N,None,
6733,,YYC-SE,,1.98,219.74,05-07-2024,17-11-2024,Calgary SE,No,1,74.74,37.79,,FALSE,none,4.6
9308,30-12-2020,YYC-DT,7,0,120.63,30-12-2020,10-12-2021,CALGARY DOWNTOWN,TRUE,22,1397,69.09,3,,,4.3
1871,,YYC-DT ,,0,101.47,16-07-2021,14-05-2023,Calg Downtown,FALSE,26,,,6,0,,4.5
2415,18-10-2021,YYC-NW ,20,0.28,134.1,18-10-2021,10-09-2024,Calgary NW  ,FALSE,43,2600.93,59.71,17,0,NONE,4.3
5855,19-09-2021,YYC-SE,6,,156.41,19-09-2021,19-06-2022,Calg SE,N,16,1024.56,64.78,1,,None ,3.8
8286,,YYC-DT,18,2.75,295.74,01-01-2020,13-06-2023,Calgary Downtown  ,0,71,4967.06,70.86,20,N,NONE,3.6
11259,06-10-2023,yyc-nw,16,0,67.94,06-10-2023,26-08-2024,Calgary Nw,Yes,17,1584.13,87.52,18,0,NONE,4
6731,04-11-2019,YYC-SE,4,1.34,41.53,,06-10-2023,Calgary Se,FALSE,13,563.87,45.79,0,TRUE,RudeStaff,4
2804,27-09-2019,YYC-SE,16,1.15,311.36,27-09-2019,23-07-2022,Calgary Se,FALSE,97,7662.78,74.41,17,Yes,LATE DELIVERY,4
3028,12-04-2021,YYC-DT,16,0.8,241.28,12-04-2021,,Calgary Downtown  ,1,44,2697.15,64.47,18,N,,5
5487,01-08-2020,YYC-DT,4,0.21,84.17,01-08-2020,12-01-2023,calgary downtown,0,19,1573.07,88.31,,FALSE,None ,4.4
7981,04-04-2019,YYC-DT,3,0.15,355.81,04-04-2019,17-04-2024,CALGARY DOWNTOWN,No,8,438.31,48.7,1,N,,3.7
6036,03-03-2019,YYC-nw,10,1.98,312.75,03-03-2019,05-01-2024,Calgary NW,,55,4514.36,84.45,10,TRUE,damaged book,4.1
8820,14-09-2021,ONLINE,17,1.64,39.45,14-09-2021,29-08-2023,ONLINE,FALSE,49,1733.07,34.77,9,,None ,3.5
3913,,YYC-DT,11,0,234.3,20-07-2021,18-09-2024,CALGARY DOWNTOWN,1,28,,,6,N,None ,4.8
7037,04-08-2023,YYC-SE,,1.1,222.25,04-08-2023,13-02-2024,Calgary SE  ,0,5,154.14,37.04,3,1,LateDelivery,3.9
10778,21-09-2020,yyc-se,5,0,131.77,21-09-2020,05-02-2023,calgary se,No,12,611.85,,2,TRUE,BillingError,3.6
381,14-01-2020,ONLINE,13,0.73,92.8,14-01-2020,10-07-2023,Online,1,71,3235.07,48.72,,N,,4.6
3546,11-06-2019,YYC-NW,,0,167.19,11-06-2019,13-02-2024,Calgary NW,FALSE,47,4052.99,89.51,11,TRUE,None,3.1
6672,19-03-2020,YYC-NW,5,0,129.23,19-03-2020,17-12-2021,Calgary NW  ,N,28,1554.09,53.28,6,No,,
11371,04-04-2020,YYC SE,9,0,174.76,,,Calg SE,No,33,1432.22,38.86,7,FALSE,NONE,3.8
7858,31-01-2020,YYC-dt,14,0,99.14,31-01-2020,18-07-2023,Calgary Downtown  ,N,56,3505.75,64.07,11,FALSE,None,
8042,17-12-2020,ONLINE,19,0.97,41.19,,20-08-2021,Online,N,56,2247.74,40.33,19,FALSE,NONE,3.9
469,15-06-2024,YYC SE,5,2.96,92.77,15-06-2024,20-09-2024,CALGARY SE,0,2,118.01,58.8,6,TRUE,Billing Error ,3.7
6062,30-06-2024,YYC-DT,3,0.07,55.64,30-06-2024,07-12-2024,Calgary Downtown,N,2,,87.52,2,,NONE,3.8
2812,18-08-2023,ONLINE,5,0.9,34.42,18-08-2023,23-06-2024,Online,No,7,306.45,37.7,8,,None,3.4
5923,19-09-2022,YYC-se,13,3.79,78.46,,14-09-2024,Calgary SE  ,0,25,1555.27,67.34,10,FALSE,None,4.2
2029,19-01-2019,YYC-SE,17,1.34,173.06,19-01-2019,06-01-2022,Calgary SE  ,0,102,6940.02,66.97,7,0,None ,4.4
5331,,YYC-NW,14,1.85,205.65,02-02-2021,29-10-2023,Calgary NW,FALSE,51,4618.71,86.41,10,FALSE,none,
11322,12-06-2020,YYC-DT ,18,1.03,265.93,12-06-2020,,calgary downtown,No,74,3655.45,49.7,9,,NONE,3.3
3831,,ONLINE,16,3.83,199.83,04-07-2024,28-12-2024,Online,No,4,420.6,83.78,14,FALSE,,4.1
2410,20-02-2021,YYC-DT,10,0,71.51,20-02-2021,17-03-2022,Calgary Downtown,No,30,2537.45,83.74,5,N,None,4.8
9692,09-02-2019,YYC-NW,2,0,216.9,09-02-2019,30-11-2019,CALGARY NW,N,23,1629.05,75.86,3,FALSE,None ,4.5
9089,16-01-2019,YYC-DT,13,0,116.54,16-01-2019,11-09-2019,Calgary Downtown,No,,2051.99,29.65,7,FALSE,none,3.7
11432,10-01-2022,YYC-NW,17,3.75,77.17,10-01-2022,13-07-2023,CALGARY NW,0,49,1519.16,28.5,16,1,None,3.6
766,,ONLINE,16,0,159.53,21-03-2023,25-05-2024,Online,N,19,1119.72,,,TRUE,rude staff,
11251,,YYC NW,16,0,111.84,17-10-2023,,CALGARY NW,N,,808.77,41.73,10,Yes,Website Issue ,3.4
2770,24-03-2020,YYC-NW,12,0.19,348.6,24-03-2020,24-04-2023,calgary nw,FALSE,45,3258.57,73.25,8,1,None,
2994,04-09-2023,YYC-SE,2,0,175.89,04-09-2023,26-05-2024,Calgary SE  ,0,2,111.51,53.16,2,Yes,rude staff,3.4
692,15-11-2020,YYC NW,5,0.72,37.9,15-11-2020,,calgary nw,TRUE,20,1160.73,63.56,3,No,,1.6
2255,28-10-2022,YYC-se,1,0,371.44,28-10-2022,06-05-2023,Calg SE,FALSE,6,164.56,43.15,1,1,Damaged Book,
7584,07-05-2019,YYC-NW,13,0,104.25,07-05-2019,09-11-2023,Calgary NW  ,TRUE,52,4206.85,75.7,12,No,NONE,4.1
11850,11-05-2021,YYC DT,5,0,36.65,11-05-2021,23-09-2022,Calgary Downtown,No,10,,38.8,2,No,None,4.1
10587,23-08-2021,yyc-dt,3,1.73,167.31,23-08-2021,18-04-2024,CALGARY DOWNTOWN,0,5,402.74,78.93,2,FALSE,,4.5
2849,09-02-2021,YYC-se,9,0.33,114.47,09-02-2021,03-04-2023,Calgary SE  ,N,33,1409.3,38.56,6,1,Website Issue ,
2058,07-02-2020,YYC DT,2,0,25.75,07-02-2020,07-03-2023,Calgary Downtown,0,19,1598.67,92.02,3,N,none,4.1
2611,06-04-2022,yyc-dt,4,0.33,230.62,06-04-2022,24-07-2022,Calgary Downtown,No,,389.05,41.71,,N,NONE,3.2
3817,27-03-2019,YYC-DT,17,0.07,96.25,,24-08-2024,Calgary Downtown,1,71,6021.29,83.67,9,,None ,
8184,24-10-2023,YYC SE,6,0,67.25,24-10-2023,12-07-2024,Calgary SE  ,0,5,430.67,71.04,,Yes,,3.4
10620,26-09-2020,YYC NW,,2.8,107.87,,04-04-2023,Calg NW,0,63,5200.95,39.29,15,N,None,3.1
9418,02-03-2023,YYC-DT,11,0,473.79,02-03-2023,,Calg Downtown,FALSE,18,763.04,43.44,11,FALSE,None,
8375,08-05-2022,YYC NW,9,0,440.17,08-05-2022,15-11-2024,Calgary NW  ,Yes,18,590.35,27.5,8,0,NONE,4.8
9316,11-03-2020,YYC-SE,6,0,240.55,,13-02-2021,Calgary SE,N,28,810.74,27.51,3,FALSE,,4.5
6223,04-02-2021,YYC-NW,11,0.38,105.95,04-02-2021,21-05-2024,calgary nw,TRUE,36,2266.4,133.12,10,FALSE,None,4.7
10208,09-09-2023,YYC-NW,8,2.74,264.2,09-09-2023,25-04-2024,calgary nw,,6,226.49,28.19,9,Y,Website Issue,3.1
1913,05-08-2019,YYC-NW ,10,3.45,140.67,05-08-2019,05-01-2021,Calgary NW,Y,,4233.82,,6,FALSE,None,4.2
7641,19-01-2023,YYC-DT,12,,195.88,19-01-2023,13-10-2024,Calgary Downtown  ,FALSE,20,,33.64,10,,None ,3.6
1289,03-07-2024,ONLINE,,1.39,44.55,03-07-2024,24-10-2024,Online,0,4,92.34,30.52,8,N,None,3.9
9586,19-12-2023,YYC-dt,12,0,123.39,,21-05-2024,Calgary Downtown  ,No,8,461.79,56.65,9,FALSE,none,3.4
8642,09-07-2022,YYC-NW,11,0,47.22,09-07-2022,07-11-2023,CALGARY NW,FALSE,24,890.88,38.8,11,FALSE,,3.8
9625,12-06-2020,ONLINE ,6,0,350.73,12-06-2020,17-11-2022,Online  ,FALSE,26,,53.54,4,0,None,4
5502,14-11-2019,YYC-SE,9,0.23,280.03,14-11-2019,27-08-2022,CALGARY SE,Y,43,3393.63,77.98,,Yes,,4.3
11107,11-02-2023,YYC-NW,20,0.39,304.48,11-02-2023,03-07-2024,calgary nw,FALSE,33,2345.02,72.8,,TRUE,,3.5
10830,10-12-2023,YYC-NW,14,,141.52,10-12-2023,15-03-2024,Calg NW,FALSE,16,1466.8,93.59,15,N,None,4.5
9082,03-03-2019,YYC-DT,19,,373.18,03-03-2019,15-01-2020,Calgary Downtown,FALSE,96,7417.12,79.04,,FALSE,None ,3.9
154,28-03-2022,YYC-DT,15,0.12,102.3,28-03-2022,19-05-2023,CALGARY DOWNTOWN,FALSE,39,2079.89,57.74,6,Y,Late Delivery,4
9236,31-01-2024,YYC DT,2,0.91,114.26,31-01-2024,09-11-2024,calgary downtown,FALSE,2,41.06,41.37,2,Yes,None,3.4
1949,28-03-2023,yyc-se,17,3.02,68.77,28-03-2023,21-04-2024,Calg SE,Y,25,788.35,34.39,,FALSE,,4
10605,05-12-2021,YYC-DT ,,0,287.85,05-12-2021,11-11-2022,Calgary Downtown,0,34,1340.07,43.47,10,No,none,4.1
10854,17-04-2019,YYC SE,7,0,200.1,17-04-2019,30-01-2021,Calgary SE  ,N,43,,57.64,,1,LATE DELIVERY,3.7
10904,23-09-2020,YYC NW,12,0.05,51.09,23-09-2020,09-08-2022,calgary nw,FALSE,43,1502.36,34.55,,1,WEBSITE ISSUE,3.2
7430,28-02-2023,YYC DT,,0.4,165.85,28-02-2023,04-03-2024,Calgary Downtown  ,0,14,618.6,39.89,,1,,6.4
3917,20-02-2023,YYC-DT,10,2.49,88.64,20-02-2023,31-12-2023,Calgary Downtown,1,18,814.62,43.27,13,No,None,5.5
10744,13-03-2019,YYC NW,8,0,68.8,13-03-2019,22-11-2020,CALGARY NW,TRUE,41,1052.1,28.39,,,,4.5
8651,24-06-2021,YYC-NW,,1.12,90.64,24-06-2021,19-07-2024,Calgary NW  ,N,6,426.16,84.47,2,FALSE,None,4.4
8857,08-12-2020,YYC DT,14,0,266.15,08-12-2020,29-04-2023,CALGARY DOWNTOWN,Yes,48,1531.04,29.77,17,FALSE,none,3.9
3624,01-08-2021,YYC-NW,,0,258.18,01-08-2021,14-04-2024,calgary nw,FALSE,5,,44.59,1,No,,
